sample,strategy,imputation,upstream,rmse_test,best_st_rmse,abs_gain,pct_gain,positive_gain
50,LH-E2E,Ground Truth,2,0.8832210302352905,1.1898791790008545,0.30665814876556396,0.2577220899209833,True
50,LH-E2E,Ground Truth,2,0.8832210302352905,0.9914901852607727,0.10826915502548218,0.10919841329241824,True
50,LH-E2E,Ground Truth,2,0.8832210302352905,0.945641279220581,0.06242024898529053,0.06600838008757265,True
50,LH-E2E,Ground Truth,2,0.8832210302352905,0.9628651738166809,0.07964414358139038,0.08271577968251842,True
50,LH-E2E,Ground Truth,2,0.8832210302352905,1.4177850484848022,0.5345640182495117,0.37704165297892256,True
50,LH-E2E,Ground Truth,2,0.8832210302352905,0.8602569699287415,-0.022964060306549072,-0.02669441935291879,False
50,LH-E2E,Ground Truth,2,0.8832210302352905,0.9823646545410156,0.0991436243057251,0.10092344410747085,True
50,LH-E2E,Ground Truth,2,0.8832210302352905,0.8565356135368347,-0.02668541669845581,-0.031155057976241664,False
75,MLP,Ground Truth,2,0.8285113573074341,0.948449432849884,0.11993807554244995,0.12645700591760822,True
75,MLP,Ground Truth,2,0.8285113573074341,0.8935254216194153,0.0650140643119812,0.07276129222395313,True
75,MLP,Ground Truth,2,0.8285113573074341,0.8760074973106384,0.047496140003204346,0.05421887386696861,True
75,MLP,Ground Truth,2,0.8285113573074341,0.645125150680542,-0.1833862066268921,-0.2842645437609092,False
75,MLP,Ground Truth,2,0.8285113573074341,1.1098624467849731,0.28135108947753906,0.25350086426705504,True
75,MLP,Ground Truth,2,0.8285113573074341,0.8950610756874084,0.06654971837997437,0.07435215337552699,True
75,MLP,Ground Truth,2,0.8285113573074341,0.8850003480911255,0.056488990783691406,0.06382934301159725,True
75,MLP,Ground Truth,2,0.8285113573074341,1.1026415824890137,0.2741302251815796,0.24861226851501486,True
75,MLP,Ground Truth,2,0.8285113573074341,1.2487623691558838,0.4202510118484497,0.33653401337880123,True
75,MLP,Ground Truth,2,0.8285113573074341,0.8494835495948792,0.02097219228744507,0.02468816764897538,True
