feature,importance_global,importance_mean,importance_median,importance_variance
AATSC0v,0.13878839833054668,0.19318244791875283,0.2070883002365414,0.01371436244884192
AATSC1p,0.13845823167193316,0.3240520906620513,0.31365224623168064,0.013413718505012306
AETA_eta,0.13778335016357035,0.27843569649783184,0.28072577648912,0.014574521405908984
AATSC0s,0.13753921186893514,0.20385616043674873,0.2037737425565104,0.012636025936093958
FNSA2,0.13730905566402862,0.2661502024560259,0.2789198697753419,0.011770595500620824
ATS7p,0.1370963908728151,0.22862903709685778,0.23805616058999876,0.013050994792103983
AATS3are,0.13686626272121627,0.2880727029145806,0.2954308481787301,0.01323380354273178
nH,0.13621698770723478,0.2524308486568247,0.2756778474849116,0.01631361702573844
AATS6dv,0.1360669135414776,0.25840728098119925,0.2574527889248165,0.015167184861453114
ATS0s,0.13566216781056673,0.22522395635670137,0.24508462343796916,0.011333531550419185
GATS1s,0.13554748096710378,0.2752759208818246,0.2671640535724074,0.012274984184251053
ATSC3dv,0.1353176534859739,0.25041942845667853,0.25135146983780043,0.012753676719077704
ZMIC4,0.1350730123668744,0.18392893226632054,0.18806606139325094,0.010121837267679665
MATS4c,0.13435250664167908,0.27551884334623833,0.27033238970847967,0.012948690557508878
Mor26p,0.13267865456762218,0.23165174460873136,0.2267066721731056,0.012314723511846749
AXp-5dv,0.13245732175911984,0.3190464420250308,0.3050146799823886,0.013881493776134719
Mor31m,0.13167360880336076,0.26326031111774656,0.2778830934281904,0.011117187545825276
AMID_C,0.13163631681622956,0.342966697662608,0.31683849252440155,0.01849163531424083
AATSC1pe,0.13067553179397606,0.2234996135593914,0.22587433099834564,0.011729721056686099
AATSC0d,0.13041951423675702,0.2516671737069748,0.2536221583125734,0.010173963219594262
ATSC0i,0.13033333591758556,0.1836366845065224,0.17970229805708474,0.010099168877334254
GGI2,0.12965445030072953,0.22870468723083856,0.22358918714588202,0.011535275225788016
PNSA4,0.1293339173084993,0.26768844115997587,0.2687036624115109,0.012356778224218821
AMID_h,0.12929079165931068,0.3229493874092138,0.3226320497510682,0.01774361506502148
GATS1c,0.12853249957968282,0.32233946954613224,0.32261372371321523,0.009979374852599117
BCUTv-1l,0.12818841463272923,0.18314803474915164,0.17274039753229561,0.008619949429704312
Mor02v,0.1280008790704854,0.29243493547844535,0.28805752661224904,0.012170552335367624
AXp-2dv,0.1279594223358207,0.2762383017649607,0.29709412663079426,0.011284988690584507
AATSC3i,0.12794399405510815,0.2577369374687411,0.26474280262989847,0.011810843318092745
SRW08,0.12697597621785262,0.19772837120401657,0.20650013079868515,0.011594694290990148
ATS0p,0.1267785508776207,0.27617593560538567,0.28881322391023145,0.012705303511173955
Xp-0dv,0.12670019091606255,0.2241140562575951,0.2305774355870593,0.012729502827147054
AATS3i,0.12619257706721232,0.23394183760449958,0.23943335318374656,0.012039787542039356
IC4,0.12561282983274058,0.2845759322559026,0.29608580519838495,0.013441556270143559
PNSA3,0.12556557372380883,0.2635707028879086,0.25918323646531555,0.018572171936249503
TSRW10,0.12544630373438093,0.1882914246691159,0.18201246525850379,0.010124001817781567
ATSC0s,0.12541343673098115,0.20611895738618907,0.20724352807434046,0.011833385728128192
AATS7i,0.12520450239669323,0.2737204813782633,0.2727633263302379,0.01368911976437175
WNSA1,0.1250353109418656,0.27107710925266754,0.2791662575920947,0.013942160180470686
Xp-5d,0.12487793725525043,0.23836451443374823,0.2505276080730445,0.01425997413996349
AXp-2d,0.1248710394835073,0.27960884134593966,0.27374762073602105,0.01219978976514941
ATSC1are,0.12484241414414754,0.1933363531562105,0.21367725433308707,0.01169037090229809
TIC1,0.12443080726981881,0.20689021839596713,0.21626700618000388,0.012392889444388185
JGT10,0.12373767496126442,0.2673711863037462,0.2637399095774346,0.013520273314754363
AATS4p,0.1233131284788227,0.2932643920662395,0.2934485862879835,0.012844312814991841
AATS3dv,0.1232744643874577,0.21593796721867667,0.2247518551295978,0.011866527127347495
AATSC1se,0.12319622026242039,0.21851083963055265,0.2338570222044182,0.009115689697828824
ETA_dEpsilon_B,0.12296744251709724,0.2294802591587128,0.24843334396787572,0.016451081066913203
SaaS,0.12296584557511525,0.23380455694863478,0.23436353925875983,0.007554177867851677
MATS5i,0.12257736115167539,0.21765695623661938,0.23014443273153964,0.01563645571954479
AATSC3p,0.12166498064021702,0.23809076995733547,0.2418995378258444,0.014572981588722797
AATS4pe,0.12112678455138948,0.2200420924565317,0.24103485599797841,0.014485813737597083
MATS7i,0.12079275130189959,0.22464013192660362,0.23830883362573474,0.010791584095724885
RNCG,0.12054330482106135,0.20997071529956368,0.21995366958976156,0.009901683851533189
