pIC50,AATS3p,AATS6s,AATS7d,AATSC0c,AETA_beta_s,AETA_eta_L,BCUTc-1l,BCUTd-1l,BCUTs-1h,BCUTs-1l,EState_VSA1,ETA_shape_y,FNSA1,GATS1c,GATS1s,GATS3d,GATS3v,GATS4d,GATS4p,GATS5dv,GATS6c,GATS6d,GATS7c,GATS7v,GATS8s,GGI10,GGI3,GGI4,GGI8,GGI9,JGI2,MATS1c,MATS5s,MAXaasC,MDEC-22,MDEC-23,MINaaCH,Mor08m,Mor10m,Mor12m,Mor23m,Mor24m,PEOE_VSA10,PEOE_VSA3,PEOE_VSA7,PEOE_VSA8,RASA,SaaaC,SdCH2,SdS,SdsCH,Silicos-IT_Log_P,SlogP_VSA1,SlogP_VSA5,SpMax_A,SsCH3,SsCl,SsOH,SssNH,SsssCH,SsssN,SssssC,VE1_A,VSA_EState1,fMF
6.970616222,1.508126524,2.625706215,2.363636364,0.02876418127,0.6481481481,0.1887004935,-0.5277847106,0.9871941861,3.517547361,1.419941378,0.0,0.3166226913,0.2289653391,1.347063237,0.9035966836,1.381131342,0.9737389541,1.440846039,1.14262739,1.34535056,0.9091318487,0.8911566344,0.8142249699,0.8409217734,0.8441031007,0.1691664116,2.125,1.568888889,0.2421264802,0.156875,0.06267806268,-0.3449783119,-0.27194359,0.8641817838,8.77705093,18.04410385,1.740695932,-2.331147937,1.235871091,1.802496101,-0.7020800298,0.3359794071,11.49902367,0.0,31.18920547,35.77071733,0.8902199566,0.0,0.0,0.0,0.0,3.9,24.26424042,5.693927995,2.390735094,6.666256248,0.0,0.0,3.334270676,0.0,0.0,0.0,4.331820604,22.09108738,0.4081632653
7.259637311,1.531139663,3.01984127,3.213675214,0.02082809754,0.6796875,0.2076933912,-0.3832848054,0.972936617,7.008276699,1.434202279,5.907179729,0.3592017738,0.406701482,1.661689804,0.7603600283,1.096025829,0.999197121,1.003329298,1.082118277,0.9103608847,0.8885460281,0.9914672766,1.181247582,0.9779132523,0.837741801,0.2426303438,1.729166667,1.877777778,0.3084057697,0.211882716,0.0697167756,-0.5901936955,-0.02521585881,0.9203648175,11.91630315,25.92287692,1.688159573,-2.201926963,1.506587814,1.714414083,-0.8992168894,0.1397019522,12.16293986,14.98529578,49.39795972,28.71782518,0.7986980535,0.0,0.0,0.0,7.296656436,1.92,16.47624748,27.57024916,2.478998053,1.957560358,0.0,0.0,3.313609904,0.0,1.717935449,0.0,4.531737251,0.0,0.5384615385
7.4,1.62478383,3.21959755,2.975409836,0.01720817351,0.640625,0.1749900716,-0.3874078304,0.9929418699,8.001919866,1.381898438,0.0,0.3613892365,0.4004752971,1.340356809,0.7085794272,1.155768076,0.9186291024,1.238226741,1.007473866,0.983004827,0.8016714219,1.002651557,0.9039943173,1.062189693,1.214158301,0.2191613101,2.5625,1.764444444,0.3247669438,0.205625,0.06535947712,-0.4513845054,-0.02085196524,0.880115219,16.45984242,34.31422992,1.427411386,-3.087580778,1.345271041,2.322007198,-0.9175478109,-0.1534966717,11.56673267,4.390415048,67.58740788,34.9019044,0.8121013622,1.311097861,0.0,0.0,0.0,5.58,5.316788604,5.693927995,2.447406335,1.92057956,0.0,10.33705855,3.331488778,0.0,0.0,0.0,5.223103586,14.19562262,0.568627451
7.443697499,1.596867947,2.959259259,3.305785124,0.01644958013,0.65625,0.1833480856,-0.3955862763,0.9729366222,7.008276683,1.400923668,5.907179729,0.3610503282,0.3752888672,1.572180471,0.7493249814,1.033273028,0.9880281126,1.136299261,1.033286222,1.00914102,1.237765032,0.9866071429,0.5859573319,0.9051181789,0.8838404341,0.1940618304,2.034722222,1.905,0.3754251701,0.353125,0.06100217865,-0.573278819,-0.04010397014,0.939564403,14.29069945,31.47405198,1.677417319,-2.285408488,0.8745756098,2.161813599,-1.066570371,0.06637453892,5.824404498,4.983978521,48.8853911,35.63533974,0.8043082238,1.622562232,0.0,0.0,0.0,4.97,5.733667477,27.43977266,2.479390399,1.959717879,0.0,0.0,0.0,0.0,0.0,0.0,4.67741432,0.0,0.5384615385
7.215382707,1.679226015,3.488953062,3.529411765,0.02316642297,0.6764705882,0.2197295168,-0.43831478,0.9893221672,8.007392488,0.60498389,6.362358859,0.307715311,0.5132030109,1.925320653,0.6014635279,1.000050785,1.022126234,1.008787098,1.286477174,1.05840778,0.873435467,0.9704887742,1.151685731,1.261425532,0.7684677267,0.2487460463,1.979166667,2.157777778,0.2837144117,0.291882716,0.06060606061,-0.6984026067,-0.05168574114,0.9091899358,11.96691268,24.04739053,1.284936311,-3.132514591,0.9644639617,1.869081269,-0.9415403323,0.3561136138,17.78197519,14.98529578,42.82867707,24.01174382,0.8969753491,0.0,0.0,0.0,7.220510286,4.43,15.47944295,16.13452668,2.478994092,1.918979875,0.0,0.0,3.257575468,0.0,1.694622754,-4.715741119,4.543847834,41.02748194,0.5490196078
6.397940009,1.604016094,3.274431058,3.139534884,0.02252518381,0.6388888889,0.1724691728,-0.3752358812,0.9729411994,8.001919869,1.432397384,5.969305288,0.355664283,0.4823677858,1.517919242,0.649373523,1.153148249,1.040034385,0.9365713018,0.9790051332,1.006932066,0.8009377975,1.271914003,0.2821001767,1.210683433,0.8501782227,0.1363126212,1.409722222,1.465555556,0.3567806752,0.275,0.07936507937,-0.6120048039,-0.07123047824,0.8937325208,14.19850435,27.927141,1.390545196,-1.753416567,1.356765458,1.623002601,-0.7048237197,0.2450649676,11.64162534,14.16893075,48.53093655,29.08404162,0.6806937978,0.0,0.0,0.0,0.0,4.86,0.0,10.35798868,2.475845804,0.0,0.0,9.054265439,0.0,0.0,0.0,0.0,4.356319718,13.31466888,0.5609756098
8.549750892,1.668655312,3.043016975,3.425742574,0.01271383553,0.6666666667,0.1849101569,-0.4158682752,0.9779950878,3.066005337,1.197964042,0.0,0.3280182232,0.4255575349,1.519419663,0.8382377497,1.030594557,0.9419397731,1.0686273,1.000953469,1.013915069,1.025211676,1.124284971,1.273352267,1.100368409,0.8100384187,0.1365146414,1.666666667,1.891666667,0.3169721592,0.189382716,0.06481481481,-0.4467240567,0.05917792667,0.9607104014,14.24582729,23.31571702,1.532206719,-1.89324875,0.8525387862,1.255657603,-1.074762671,0.570637933,12.02124807,14.18117935,61.10326455,29.3384529,0.9465810684,0.7577671333,0.0,5.60688723,0.0,3.36,5.316788604,5.693927995,2.489034642,1.96231655,0.0,0.0,3.223587176,0.0,0.0,0.0,4.578097402,3.39397765,0.5957446809
6.189767482,1.582108434,2.645663957,2.571428571,0.0146557676,0.6477272727,0.1978735067,-0.5293598993,0.9879813945,3.513557274,1.399905568,0.0,0.3227848101,0.3141452669,1.176481269,0.7851711603,1.213155675,0.8982076281,1.280103896,1.015614611,1.040133297,1.038810084,1.075894837,0.7141105896,1.199491124,0.7760290442,0.02061014182,1.381944444,1.268333333,0.1441326531,0.05469135802,0.06349206349,-0.2117518127,0.02075064838,1.130388794,13.26955239,20.42153318,1.79904153,-1.587926779,0.877796797,1.089260755,-0.740441615,0.148210926,11.44343983,0.0,35.90493987,11.76029506,0.9500679145,0.0,0.0,0.0,4.246591317,3.2,4.736862954,5.693927995,2.527684553,1.675285231,0.0,0.0,0.0,0.0,0.0,0.0,3.951139256,7.264326415,0.5405405405
7.0,1.402129323,2.878986626,3.163636364,0.01300006041,0.6693548387,0.2300787639,-0.4302141194,0.9929434613,8.001919149,1.216307925,0.0,0.3288590604,0.3713143709,1.329498302,0.5450569083,0.9668872326,0.9727023369,1.004215673,0.884376339,1.127243629,0.9888948197,1.080201477,1.279091278,0.9687290533,0.6995564288,0.1474380165,2.131944444,1.565,0.2439058957,0.2025,0.05442176871,-0.2749013998,-0.05838386525,0.8451637517,15.70955687,26.67161381,1.348087593,-3.145420253,0.8118178495,1.228229738,-0.8006874655,0.5428562026,16.85062228,4.390415048,68.24726451,35.21191463,0.8687147249,1.650770798,0.0,0.0,0.0,4.18,10.63357721,12.84164325,2.450829886,0.0,6.042657061,0.0,6.785258101,0.6271483954,0.0,0.0,4.557563262,16.27157836,0.5471698113
6.790484985,1.537814722,2.787598204,2.762711864,0.01097656346,0.6538461538,0.2119902115,-0.3955876574,0.9893395914,3.046653978,1.183765089,0.0,0.32,0.3036030983,1.525196161,0.9809938994,0.9588035478,1.140699459,0.7939709379,0.642241497,1.080948831,1.08964441,1.456853876,0.9988864666,1.209015552,0.7431731189,0.06999285787,1.465277778,2.052777778,0.3527336861,0.156875,0.07751937984,-0.5004129183,0.05538556734,1.002829743,6.605905283,17.50419298,1.704717007,-2.011281618,0.6830322579,1.535383668,-0.8496291209,0.06983122726,5.824404498,4.983978521,31.18920547,29.0660571,0.9008795567,1.728260385,0.0,0.0,0.0,5.2,0.0,32.28954409,2.497512609,8.439110204,0.0,0.0,0.0,0.0,0.0,-0.08980268959,4.437620321,0.0,0.4468085106
