sample,strategy,imputation,upstream,mean_gain,std_gain,prob_positive,n_runs,mean_rmse,mean_best,profile
20,MLP,Ground Truth,3,0.3142827325937766,0.09578411321182927,1.0,120,0.6673338353633881,0.9946902841329575,Consistent Positive
20,MLP,Ground Truth,4,0.07838619569653786,0.1319595917904313,0.7083333333333334,120,0.8969062089920044,0.9946902841329575,Unstable
20,MLP,Mean,2,-0.5626951252920878,0.21817051535516374,0.0,120,1.5208007454872132,0.9946902841329575,Consistent Negative
20,MLP,Mean,3,-0.49484658564261197,0.20889415380014292,0.0,120,1.4547711610794067,0.9946902841329575,Consistent Negative
20,MLP,Mean,4,-0.8930067818442737,0.26450667140133366,0.0,120,1.842257058620453,0.9946902841329575,Consistent Negative
20,MLP,Pseudo-Feature,2,-0.08180340233365037,0.15097867239322893,0.325,120,1.0528012752532958,0.9946902841329575,Unstable
20,MLP,Pseudo-Feature,3,-0.12955085407720743,0.15845023670643713,0.15833333333333333,120,1.099268662929535,0.9946902841329575,Consistent Negative
20,MLP,Pseudo-Feature,4,-0.1159415636891837,0.15732971343471316,0.18333333333333332,120,1.0860242247581482,0.9946902841329575,Consistent Negative
20,MLP-E2E,Gaussian,2,-0.679990612075873,0.2498899179194627,0.0,120,1.634951651096344,0.9946902841329575,Consistent Negative
20,MLP-E2E,Gaussian,3,-0.7287697261913142,0.2517890487514857,0.0,120,1.6824230432510376,0.9946902841329575,Consistent Negative
20,MLP-E2E,Gaussian,4,-0.7556953399403574,0.2569567525241914,0.0,120,1.7086268067359924,0.9946902841329575,Consistent Negative
20,MLP-E2E,Ground Truth,2,-0.5080420939437434,0.23674551261111204,0.03333333333333333,120,1.467612910270691,0.9946902841329575,Consistent Negative
20,MLP-E2E,Ground Truth,3,0.05090601228168883,0.1377395210418293,0.625,120,0.9236496746540069,0.9946902841329575,Unstable
20,MLP-E2E,Ground Truth,4,-0.14464100171303082,0.2098298937169364,0.25,120,1.1139542579650878,0.9946902841329575,Unstable
20,MLP-E2E,Mean,2,-0.17350072211127068,0.16454462060411562,0.09166666666666666,120,1.1420402765274047,0.9946902841329575,Consistent Negative
20,MLP-E2E,Mean,3,-0.4355867436455682,0.22454295609662572,0.041666666666666664,120,1.397100019454956,0.9946902841329575,Consistent Negative
20,MLP-E2E,Mean,4,-0.26322569285735936,0.19631908441756088,0.075,120,1.2293598055839539,0.9946902841329575,Consistent Negative
20,MLP-E2E,Pseudo-Feature,2,0.2354900242256501,0.10815171353337845,1.0,120,0.7440141856670379,0.9946902841329575,Consistent Positive
20,MLP-E2E,Pseudo-Feature,3,-0.6440297516519685,0.25212236634581525,0.0,120,1.599954867362976,0.9946902841329575,Consistent Negative
20,MLP-E2E,Pseudo-Feature,4,-0.16458588626868162,0.17704701805983644,0.15,120,1.1333644390106201,0.9946902841329575,Consistent Negative
50,LH,Gaussian,2,-0.020639798158876378,0.2020411016803868,0.48333333333333334,120,1.1914008498191833,1.2071190973122914,Unstable
50,LH,Gaussian,3,-0.38649421114249516,0.24392048784931933,0.13333333333333333,120,1.6184655785560609,1.2071190973122914,Consistent Negative
50,LH,Gaussian,4,-0.42989223828900863,0.2506847970702611,0.06666666666666667,120,1.669124436378479,1.2071190973122914,Consistent Negative
50,LH,Ground Truth,2,0.295396271589871,0.12309252377686809,1.0,120,0.8224894642829895,1.2071190973122914,Consistent Positive
50,LH,Ground Truth,3,0.2798121591611985,0.15102083414510684,0.975,120,0.8406809210777283,1.2071190973122914,Consistent Positive
50,LH,Ground Truth,4,0.26909635470675947,0.14028150680482732,0.975,120,0.8531895637512207,1.2071190973122914,Consistent Positive
50,LH,Mean,2,-0.33287288941375687,0.23279363159342664,0.16666666666666666,120,1.5558729887008667,1.2071190973122914,Consistent Negative
50,LH,Mean,3,-0.2103678830876879,0.21143043665975028,0.16666666666666666,120,1.4128719329833985,1.2071190973122914,Consistent Negative
50,LH,Mean,4,-0.5313885894223259,0.2674709255457081,0.0,120,1.787601923942566,1.2071190973122914,Consistent Negative
50,LH,Pseudo-Feature,2,0.0906194146021247,0.1588604951458006,0.75,120,1.0615270972251891,1.2071190973122914,Unstable
50,LH,Pseudo-Feature,3,0.12642340254598075,0.15353403103653077,0.75,120,1.0197328209877015,1.2071190973122914,Unstable
50,LH,Pseudo-Feature,4,0.18749409055339775,0.14257248182082363,0.875,120,0.948444527387619,1.2071190973122914,Consistent Positive
50,LH-E2E,Gaussian,2,0.17380510509222208,0.14645462949716614,0.8166666666666667,120,0.9644237875938415,1.2071190973122914,Consistent Positive
50,LH-E2E,Gaussian,3,-0.13301710749149442,0.19809501674093102,0.16666666666666666,120,1.3225797653198241,1.2071190973122914,Consistent Negative
50,LH-E2E,Gaussian,4,-0.17308592639714787,0.20701591115640128,0.16666666666666666,120,1.3693524122238159,1.2071190973122914,Consistent Negative
50,LH-E2E,Ground Truth,2,0.21606981930056873,0.1399408822361309,0.95,120,0.9150878548622131,1.2071190973122914,Consistent Positive
50,LH-E2E,Ground Truth,3,0.2884961650820088,0.12550447626940012,1.0,120,0.8305440127849579,1.2071190973122914,Consistent Positive
50,LH-E2E,Ground Truth,4,0.24300940568138651,0.13307909004476784,1.0,120,0.8836410641670227,1.2071190973122914,Consistent Positive
50,LH-E2E,Mean,2,0.0717873840518786,0.16302190418518622,0.75,120,1.083509874343872,1.2071190973122914,Unstable
