SpMax_A,VE1_A,AATS7d,AATS6s,AATS8s,AATS3p,AATS1i,AATS3i,AATS4i,AATS6i,ATSC1d,AATSC0c,MATS1c,MATS5s,MATS6s,MATS7s,GATS1c,GATS6c,GATS7c,GATS1dv,GATS3dv,GATS5dv,GATS6dv,GATS3d,GATS4d,GATS6d,GATS1s,GATS2s,GATS8s,GATS2v,GATS3v,GATS7v,GATS4p,GATS8i,BCUTc-1l,BCUTd-1l,BCUTs-1h,BCUTs-1l,RNCG,RPCG,Xc-5dv,Xc-6dv,SsCH3,SdCH2,SdsCH,SsssCH,SaaaC,SssssC,SssNH,SsssN,SsOH,SssO,SdS,SsCl,MAXaasC,MINaaCH,ETA_shape_y,AETA_beta_s,AETA_eta_L,ETA_dEpsilon_D,fMF,ZMIC2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA10,SMR_VSA1,SMR_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA4,SlogP_VSA5,SlogP_VSA10,EState_VSA1,VSA_EState1,VSA_EState8,VSA_EState9,MDEC-22,MDEC-23,TopoPSA(NO),GGI3,GGI4,GGI6,GGI8,GGI9,GGI10,JGI2,FNSA1,RASA,Mor02m,Mor08m,Mor10m,Mor12m,Mor23m,Mor24m,MOMI-Z,Silicos-IT_Log_P,ESOL_Solubility_(mg/ml)
2.478936865,4.51049676,3.189655172,2.779320988,2.575975529,1.620130942,147.9609889,157.3723122,158.3109128,161.9162416,12.75,0.01506305891,-0.4995143091,0.1056842352,0.1012664571,-0.09900995601,1.593991991,1.252090456,1.424769528,0.4858885136,1.143526743,0.8903736318,1.004001189,1.134920635,1.034482759,1.015037594,0.9254716345,0.7708239048,0.8855244135,0.8883641275,0.9783077638,0.9497716005,1.034991223,1.097062228,-0.3832820281,0.9878601675,3.057289002,0.6294009932,0.1592768708,0.09315111428,0.06365387513,0.0,4.061561316,0.0,7.43851296,0.0,0.0,0.0,3.441633335,1.752663542,0.0,0.0,0.0,0.0,1.23809844,1.987821129,0.3237885463,0.6693548387,0.2293193753,0.0302378625,0.5384615385,28.42005889,14.98529578,5.425791397,12.14238718,55.6537289,28.04985716,12.16293986,0.0,11.38785599,10.74258,32.55515263,13.08951281,17.21226049,5.687386275,0.0,0.0,2.560241685,0.0,11.91630315,24.29046293,83.3,1.479166667,1.837777778,0.5723809524,0.2590230537,0.211882716,0.2226303438,0.06349206349,0.4013392221,0.8972192971,30.21533539,-2.036631265,0.2683412712,1.69991549,-0.7394638663,0.05764286323,2180.156366,3.33,0.0132
2.479665346,4.592143098,3.288288288,3.498397436,3.170981661,1.50055205,150.6227588,163.5217372,164.1776681,164.0833098,9.703125,0.01874242464,-0.4735516832,-0.1144686999,0.009471852089,0.03749536636,1.526630217,1.095024845,1.037366544,0.4153388278,1.014748035,1.054946833,0.9016941392,1.089697145,1.111799493,0.9250451041,0.5459221697,0.608092821,0.6813870094,0.8946434032,0.9581582932,0.952414314,1.011181547,0.9614630423,-0.3832828006,0.9925445055,8.003004674,1.425951198,0.1455668877,0.08568957784,0.08760231951,0.0,1.912898413,0.0,7.073676348,0.0,0.0,0.0,2.893697772,1.664197244,0.0,0.0,0.0,0.0,0.8669307239,1.076691804,0.3757455268,0.685483871,0.206097908,0.03407345343,0.5833333333,30.43903568,23.76612587,5.425791397,18.20875424,37.26522558,17.46698741,12.16293986,8.780830095,11.38785599,10.74258,26.29938345,24.72395449,17.21226049,14.46821637,11.63444168,27.48193107,2.084286042,0.0,9.857598928,23.997636,83.3,2.041666667,1.908888889,0.614829932,0.3699058327,0.284691358,0.2275257627,0.07555555556,0.4440634475,0.7714694921,30.97009812,-2.573080398,0.9142737892,2.216510363,-0.915551887,0.02388477495,2186.707631,3.55,0.0201
2.477060554,4.55375734,3.223140496,2.961538462,2.997704316,1.550107122,145.0431459,156.7504081,156.9724815,158.1541802,9.410466358,0.01228273946,-0.3650620415,-0.1031824582,-0.08316251675,0.1068993061,1.374355166,1.240074768,0.9457194813,0.5020611259,1.127461322,1.111519675,1.100672468,1.036146273,1.179970216,1.11814346,0.6111970808,0.6260982147,1.383005849,0.9291826201,0.9673682524,0.9825273825,1.014842903,1.027583128,-0.425173532,0.97795332,7.008272423,1.420015394,0.1480344716,0.1120478328,0.0761440227,0.0,1.953539736,0.0,0.0,0.0,1.975771616,0.0,2.908301157,0.0,0.0,0.0,0.0,0.0,0.9986330181,1.785197815,0.3195652174,0.640625,0.1838961498,0.01474116162,0.5660377358,33.51495759,0.0,5.098681808,36.39820241,54.95175817,34.72467712,12.2386844,4.794537184,22.51475897,5.316788604,25.65562151,6.9237372,5.693927995,5.687386275,0.0,1.667057351,2.053586189,0.0,20.45493089,30.13109509,72.7,1.972222222,1.793888889,0.7413151927,0.4323664651,0.264066358,0.1281501888,0.05333333333,0.3983098011,0.8912352026,29.8329492,-2.921958736,1.743008987,1.855895035,-0.7829290354,0.2419674918,2381.375993,4.44,0.00215
2.355558733,4.827861254,2.839506173,2.724369297,3.0208762,1.510056558,145.4446603,157.0115152,157.9188001,159.4725839,7.222222222,0.01719890356,-0.5716861687,-0.1061594259,0.1080888137,-0.04694719601,1.592977371,0.6843921966,1.064051865,0.6286803578,1.298230192,0.9431134218,0.7908882928,1.096140351,1.037037037,0.7731884058,0.914622751,0.4426392357,0.6718932183,0.9359687193,1.023310233,0.9886731182,0.9808297977,1.038862585,-0.4923873591,0.9684575887,7.014213094,0.3002092232,0.2203425021,0.1149386659,0.1565980496,0.01964185503,3.83331744,0.0,0.0,0.0,0.0,0.0,3.201210921,0.0,0.0,5.907962727,0.0,0.0,0.9381553766,1.457688207,0.2792553191,0.6153846154,0.1871033944,0.05636604775,0.4444444444,33.06112178,13.55677072,0.0,6.066367068,62.37841095,23.13506761,11.49902367,13.15465994,11.49902367,15.1926253,13.40177551,13.8474744,11.38785599,11.37477255,10.02329115,28.51788288,3.83331744,-3.694652026,10.92424127,18.35520524,94.31,1.8125,1.297777778,0.5053061224,0.3124212648,0.20125,0.1442709928,0.07222222222,0.422690096,0.7947419917,28.97317221,-2.676872075,0.668891496,1.085422478,-0.494476765,0.4493182363,806.1259064,2.36,0.0152
2.54695347,4.500490354,3.124183007,2.391577061,2.356851852,1.418283712,147.3089717,159.9675702,158.8347426,161.2775098,15.04192421,0.01185756757,-0.2256811218,0.07631905469,-0.09549743874,0.04486605515,1.304826068,1.140524309,0.9385998467,0.523310367,1.079327632,0.9080881519,1.060178271,1.081049149,1.082444051,1.032227575,0.7651775263,1.032345239,1.093549356,0.861293852,0.92777316,0.9981319023,1.014972819,1.166991385,-0.4411416984,0.993840093,3.510026325,1.347835869,0.1626992483,0.05118396501,0.1288113406,0.0,2.022195826,0.0,4.332501179,0.0,2.193763306,0.0,0.0,2.483801233,0.0,5.464938818,0.0,0.0,1.156051296,1.971336136,0.3305084746,0.6893939394,0.2455859152,0.0,0.5245901639,29.67202721,4.983978521,5.098681808,18.20875424,49.24949869,37.43640511,5.693927995,4.736862954,22.51475897,0.0,62.06348431,6.9237372,17.80867761,0.0,0.0,9.81409874,8.628129919,0.0,23.73959916,28.03955089,61.0,2.111111111,1.561666667,0.7975056689,0.2653533636,0.186257716,0.1313151719,0.06172839506,0.2787603221,0.9164128697,30.89935649,-2.894746311,1.258737129,1.090251058,-0.7191453266,0.2433123961,2391.414006,3.59,0.0165
2.462826447,4.212044087,2.949152542,3.017304189,2.660027952,1.757127915,144.1659287,153.5028767,153.116545,155.7051317,7.211072664,0.01503772994,-0.6047044758,0.2746456076,-0.1651971555,-0.08863812657,1.602572835,1.53759601,1.204616384,0.5702390063,1.011240874,1.074027301,1.216279096,1.045341615,1.267080745,1.142449852,1.123309368,0.8584584357,1.059909411,0.8845688677,0.8952842616,1.151639504,1.043218567,0.9577689896,-0.3869134947,0.9938486659,4.005274287,0.6050205064,0.2314290308,0.1115493625,0.1097114615,0.0,0.0,0.0,0.0,0.0,2.07135708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9462528345,1.752450922,0.3201219512,0.6477272727,0.1853179454,0.0404040404,0.6176470588,31.00404986,9.967957042,0.0,41.66862122,24.26546827,11.58306779,5.693927995,0.0,21.95893118,5.733667477,14.95193556,0.0,0.0,5.13155848,0.0,0.0,0.0,0.0,10.68920501,18.26135118,64.69,1.222222222,1.326666667,0.3257142857,0.09448223734,0.0425,0.01632486481,0.06349206349,0.4236990573,0.9080704063,20.73935905,-1.720318506,0.0749972144,1.337042018,-0.6070092993,0.04929411398,1319.279635,4.34,0.0044
2.497208695,4.513463657,3.3125,2.44028298,2.134100612,1.581122307,144.000306,156.6712328,159.1303121,151.9834538,9.842975207,0.01412150388,-0.4356589511,0.04138601147,-0.08288693757,-0.1037634672,1.415651066,1.131708532,1.004260681,0.5442672477,1.086818633,1.077433294,1.254144744,1.04254277,0.9471142521,1.446023742,0.8806539687,1.054924927,0.8934831902,0.8553382836,0.9181363196,1.189600371,0.9384426978,1.035341044,-0.4173607762,0.993844579,3.51001883,0.6094207542,0.2052808217,0.09032972377,0.1433457877,0.0,2.022904813,0.0,0.0,0.4207821817,2.22272854,0.0,0.0,0.0,0.0,5.512646588,0.0,0.0,1.134641204,1.888847156,0.3435114504,0.6730769231,0.2643470353,0.01894586895,0.5681818182,31.58237972,14.95193556,0.0,6.066367068,31.89811458,35.76911223,16.52595619,4.736862954,21.95893118,0.0,33.14967801,6.9237372,30.27788178,0.0,0.0,6.698744471,3.632463227,0.0,7.444584377,20.57191057,63.69,1.388888889,1.354444444,0.5275283447,0.2693609851,0.136257716,0.05163350679,0.06718346253,0.3466355334,0.8685072019,27.72436245,-2.447051409,0.5062432875,0.5947064721,-0.9189985796,0.5889239454,2649.880063,6.71,0.0047
2.55375461,4.413009073,2.748148148,2.94921875,2.440442561,1.488319459,148.2991478,159.5748317,156.2513714,157.4374748,12.64806331,0.01512459924,-0.4214781845,-0.05766824959,-0.03286935977,0.0008746537024,1.44723382,0.8922264573,0.7563912677,0.4671563858,1.063826204,1.112418374,1.121284621,1.077186126,1.250128853,1.154889396,0.6956622272,0.6434882595,0.7378904952,0.9271276023,0.8266972972,1.160061971,0.9249455163,0.9437620712,-0.4356902908,0.9776566619,7.008271822,1.343850114,0.1489909272,0.1089572074,0.130682846,0.0,0.0,0.0,0.0,0.0,1.819785,0.0,2.786465574,0.0,0.0,0.0,0.0,0.0,1.234874181,1.792292877,0.3567961165,0.6637931034,0.2132966268,0.04773706897,0.4897959184,27.95485275,0.0,5.098681808,12.13273414,48.73693008,41.26943352,5.693927995,4.794537184,22.51475897,11.05045608,32.20037792,0.0,12.11474962,5.687386275,0.0,2.09865947,0.8699774822,0.0,15.49921546,29.36794629,98.72,2.006944444,1.707777778,0.6271201814,0.2454018644,0.162816358,0.1439669421,0.06146572104,0.3066670127,0.8644540784,24.63086343,-2.453202462,1.193902105,1.423674917,-0.4850896078,0.08778305287,2195.54859,2.77,0.193
2.390735094,4.331820604,2.363636364,2.625706215,2.631421744,1.508126524,146.0803651,155.0367744,154.99188,158.3510474,15.7392753,0.02876418127,-0.3449783119,-0.27194359,-0.1521256224,0.1076273212,1.347063237,0.9091318487,0.8142249699,0.5088812892,1.15075789,1.34535056,0.9340192528,1.381131342,1.440846039,0.8911566344,0.9035966836,1.156934711,0.8441031007,0.7482852695,0.9737389541,0.8409217734,1.14262739,0.9110015727,-0.5277847106,0.9871941861,3.517547361,1.419941378,0.1803403222,0.07428232473,0.05040857505,0.0,6.666256248,0.0,0.0,0.0,0.0,0.0,3.334270676,0.0,0.0,22.09108738,0.0,0.0,0.8641817838,1.740695932,0.3166226913,0.6481481481,0.1887004935,0.01940035273,0.4081632653,35.45468631,0.0,0.0,6.066367068,31.18920547,35.77071733,11.49902367,18.94745182,28.74755917,24.26424042,26.31337114,6.9237372,5.693927995,11.37477255,0.0,22.09108738,1.910063424,4.756192824,8.77705093,18.04410385,61.84,2.125,1.568888889,0.4644897959,0.2421264802,0.156875,0.1691664116,0.06267806268,0.2289653391,0.8902199566,23.42228331,-2.331147937,1.235871091,1.802496101,-0.7020800298,0.3359794071,977.4533353,3.9,0.00562
2.478998053,4.531737251,3.213675214,3.01984127,2.8726647,1.531139663,150.5752208,158.9065809,160.4429129,162.5301929,11.13609467,0.02082809754,-0.5901936955,-0.02521585881,0.07628768031,-0.09643419108,1.661689804,0.8885460281,1.181247582,0.4800952104,1.155423759,0.9103608847,0.9647846333,1.096025829,1.003329298,0.9914672766,0.7603600283,0.5161077978,0.837741801,0.8958724057,0.999197121,0.9779132523,1.082118277,1.079807087,-0.3832848054,0.972936617,7.008276699,1.434202279,0.1318109077,0.08658969209,0.08329573016,0.0,1.957560358,0.0,7.296656436,0.0,0.0,0.0,3.313609904,1.717935449,0.0,0.0,0.0,0.0,0.9203648175,1.688159573,0.3592017738,0.6796875,0.2076933912,0.05821759259,0.5384615385,28.81366083,14.98529578,5.425791397,12.14238718,49.39795972,28.71782518,12.16293986,4.794537184,11.38785599,16.47624748,32.20656318,13.08951281,27.57024916,5.687386275,5.907179729,0.0,2.416194775,0.0,11.91630315,25.92287692,126.39,1.729166667,1.877777778,0.6131972789,0.3084057697,0.211882716,0.2426303438,0.0697167756,0.406701482,0.7986980535,30.89542096,-2.201926963,1.506587814,1.714414083,-0.8992168894,0.1397019522,2146.50863,1.92,0.152
