sample,strategy,imputation,upstream,mean_gain,std_gain,prob_positive,n_runs,mean_rmse,mean_best,profile,cluster
20,LH-E2E,Pseudo-Feature,2,0.28002538191470644,0.18044103405286596,0.9166666666666666,120,0.7593242943286895,1.132521390914917,Consistent Positive,3
20,LH-E2E,Pseudo-Feature,3,-0.03300413173752969,0.27547374851036294,0.4083333333333333,120,1.0894622027873992,1.132521390914917,Unstable,0
20,LH-E2E,Pseudo-Feature,4,-0.01818164981016262,0.2665462195148292,0.45,120,1.073829609155655,1.132521390914917,Unstable,0
20,MLP,Gaussian,2,-0.19071830109948562,0.29916791132141185,0.25,120,1.2557961225509644,1.132521390914917,Unstable,0
20,MLP,Gaussian,3,-0.5765348041915512,0.39316695404309493,0.08333333333333333,120,1.6626991391181947,1.132521390914917,Consistent Negative,0
20,MLP,Gaussian,4,-0.5857181946120641,0.3957046150105835,0.08333333333333333,120,1.6723844408988953,1.132521390914917,Consistent Negative,0
20,MLP,Ground Truth,2,0.1255482123738209,0.22199539988350073,0.7333333333333333,120,0.9222442984580994,1.132521390914917,Unstable,3
20,MLP,Ground Truth,3,0.36724871462736225,0.15778983592541534,1.0,120,0.6673338353633881,1.132521390914917,Consistent Positive,3
20,MLP,Ground Truth,4,0.14957323227982958,0.21382211621425876,0.75,120,0.8969062089920044,1.132521390914917,Unstable,3
20,MLP,Mean,2,-0.4419898640066676,0.3595292032404354,0.09166666666666666,120,1.5208007454872132,1.132521390914917,Consistent Negative,0
20,MLP,Mean,3,-0.37938206234483574,0.34402485070076866,0.16666666666666666,120,1.4547711610794067,1.132521390914917,Consistent Negative,0
20,MLP,Mean,4,-0.7467876796538343,0.43564284177707313,0.08333333333333333,120,1.842257058620453,1.132521390914917,Consistent Negative,0
20,MLP,Pseudo-Feature,2,0.0017569545297735204,0.2488615506191905,0.5,120,1.0528012752532958,1.132521390914917,Unstable,3
20,MLP,Pseudo-Feature,3,-0.04230240185523318,0.2602809089790304,0.3416666666666667,120,1.099268662929535,1.132521390914917,Unstable,0
20,MLP,Pseudo-Feature,4,-0.029744316481935852,0.2575713741587654,0.39166666666666666,120,1.0860242247581482,1.132521390914917,Unstable,0
20,MLP-E2E,Gaussian,2,-0.5502252454949998,0.39495056047426913,0.09166666666666666,120,1.634951651096344,1.132521390914917,Consistent Negative,0
20,MLP-E2E,Gaussian,3,-0.595236576874525,0.4034328403017997,0.08333333333333333,120,1.6824230432510376,1.132521390914917,Consistent Negative,0
20,MLP-E2E,Gaussian,4,-0.6200824098715543,0.4104071025062468,0.08333333333333333,120,1.7086268067359924,1.132521390914917,Consistent Negative,0
20,MLP-E2E,Ground Truth,2,-0.39155832687185976,0.36162501395448726,0.16666666666666666,120,1.467612910270691,1.132521390914917,Consistent Negative,0
20,MLP-E2E,Ground Truth,3,0.1242156655325411,0.22121217282324437,0.7333333333333333,120,0.9236496746540069,1.132521390914917,Unstable,3
20,MLP-E2E,Ground Truth,4,-0.056226960513566696,0.2928313553285072,0.45,120,1.1139542579650878,1.132521390914917,Unstable,0
20,MLP-E2E,Mean,2,-0.0828575064331042,0.27037001178391534,0.3333333333333333,120,1.1420402765274047,1.132521390914917,Unstable,0
20,MLP-E2E,Mean,3,-0.32469955254536237,0.3437702779966545,0.2,120,1.397100019454956,1.132521390914917,Unstable,0
20,MLP-E2E,Mean,4,-0.16565196599857535,0.3017651043341697,0.26666666666666666,120,1.2293598055839539,1.132521390914917,Unstable,0
20,MLP-E2E,Pseudo-Feature,2,0.2945420906764908,0.1766568291263692,0.9583333333333334,120,0.7440141856670379,1.132521390914917,Consistent Positive,3
20,MLP-E2E,Pseudo-Feature,3,-0.5170420638283032,0.39079257223130875,0.1,120,1.599954867362976,1.132521390914917,Consistent Negative,0
20,MLP-E2E,Pseudo-Feature,4,-0.07463126785576554,0.27594265032195037,0.35833333333333334,120,1.1333644390106201,1.132521390914917,Unstable,0
50,LH,Gaussian,2,-0.28984495712486075,0.2949219751099498,0.15833333333333333,120,1.1914008498191833,0.9632539302110672,Consistent Negative,1
50,LH,Gaussian,3,-0.7521975623045187,0.3672982260937404,0.0,120,1.6184655785560609,0.9632539302110672,Consistent Negative,1
50,LH,Gaussian,4,-0.8070423043624654,0.3778604793350662,0.0,120,1.669124436378479,0.9632539302110672,Consistent Negative,1
50,LH,Ground Truth,2,0.10954915975194192,0.18572895159991243,0.8333333333333334,120,0.8224894642829895,0.9632539302110672,Consistent Positive,2
