pIC50,AATS8dv,AETA_beta_s,AETA_eta_F,AETA_eta_L,ATSC0i,ATSC0p,ATSC8d,AXp-1d,Ali_Solubility_(mg/ml),BCUTc-1h,BCUTd-1l,BCUTs-1h,ESOL_Log_S,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA9,FPSA3,GATS1p,GATS3v,GATS4c,GATS5dv,GATS6d,GATS6i,GATS7d,GGI3,GGI5,GGI8,GGI9,IC2,JGI2,JGI5,MATS1c,MATS2s,MATS3s,MDEC-33,Mor06m,Mor08m,Mor11m,Mor16m,Mor23m,PEOE_VSA2,RPCS,SaaaC,SaasC,SdS,Silicos-IT_Log_P,Silicos-IT_Solubility_(mg/ml),SlogP_VSA1,SpMax_A,SsOH,SssNH,SssssC,VE1_A,VSA_EState3,VSA_EState7,XLOGP3,Xc-5d,Xch-5d,Xch-7d,ZMIC1
5.450016389,3.169811321,0.6477272727,0.9910013254,0.1853179454,61.6294254,9.851108671,-3.702422145,0.4323865235,0.000629,0.400199853,0.9938486659,4.005274287,-4.84,0.0,0.0,5.13155848,6.196843572,10.717646,0.04664547043,0.7125133302,0.8952842616,1.042887281,1.074027301,1.142449852,1.113479189,1.092588694,1.222222222,0.6288888889,0.09448223734,0.0425,3.990868356,0.06349206349,0.02096296296,-0.6047044758,-0.06694110223,-0.008230873435,8.047178597,1.605275138,-1.720318506,0.247951908,0.281349613,-0.6070092993,4.983978521,72.85070457,2.07135708,3.9235255,0.0,4.34,3.95e-05,5.733667477,2.462826447,0.0,0.0,0.0,4.212044087,1.633087994,1.752450922,4.03,0.2749716524,0.09622504486,0.6126064166,53.06631725
7.677780705,2.408099688,0.6730769231,0.7862905977,0.2643470353,77.84575342,15.20804651,-7.609504132,0.4258663194,0.000424,0.4017147202,0.993844579,3.51001883,-4.91,0.0,0.0,5.917906046,22.67357176,9.720841475,0.03732102711,0.808607547,0.9181363196,1.248419574,1.077433294,1.446023742,1.047569839,1.210008098,1.388888889,0.8822222222,0.2693609851,0.136257716,4.743300369,0.06718346253,0.02321637427,-0.4356589511,-0.02481822452,-0.1044291348,11.50557439,1.730692214,-2.447051409,0.6351978727,0.8407406097,-0.9189985796,0.0,121.6114302,2.22272854,6.191205856,0.0,6.71,4.19e-05,0.0,2.497208695,0.0,0.0,0.0,4.513463657,3.046624858,2.022162383,3.74,0.3583049857,0.3319273053,0.8477628922,41.43348934
7.193820026,2.737288136,0.6637931034,1.066637448,0.2132966268,82.70574452,10.72872352,0.5872553103,0.4315610527,0.338,0.4024372182,0.9776566619,7.008271822,-3.3,0.0,12.45193614,5.687386275,12.39368714,10.83234929,0.04521456549,0.9148275744,0.8266972972,0.9056908435,1.112418374,1.154889396,1.102314322,0.9420724095,2.006944444,1.035277778,0.2454018644,0.162816358,4.887128529,0.06146572104,0.01990918803,-0.4214781845,0.01220900912,0.0391236265,12.01007066,1.001958965,-2.453202462,0.3691730813,0.3755674872,-0.4850896078,19.44429716,67.86264466,1.819785,5.873888382,0.0,2.77,2.51e-05,11.05045608,2.55375461,0.0,2.786465574,0.0,4.413009073,8.673653371,5.674389572,1.38,0.3957624643,0.1964185503,0.8994900549,46.26446953
6.970616222,3.623655914,0.6481481481,1.062088074,0.1887004935,71.18533849,11.27506112,0.5293627655,0.4530652259,0.00206,0.4580307598,0.9871941861,3.517547361,-4.81,0.0,0.0,22.99804733,27.5262362,18.94745182,0.0486800147,1.195749679,0.9737389541,0.954704852,1.34535056,0.8911566344,1.1434127,0.8111243857,2.125,0.7708333333,0.2421264802,0.156875,4.169934589,0.06267806268,0.02141203704,-0.3449783119,-0.05150798815,0.01644019467,7.352550885,0.9113398695,-2.331147937,0.2158373764,-0.3080488765,-0.7020800298,4.983978521,8.90461098,0.0,5.651997356,0.0,3.9,9.86e-06,24.26424042,2.390735094,0.0,3.334270676,0.0,4.331820604,3.334270676,1.740695932,4.24,0.2539338937,0.0,0.4172448689,57.89757831
7.259637311,4.628318584,0.6796875,1.06902788,0.2076933912,91.56728906,10.98400966,-3.443786982,0.4323245357,0.129,0.4066858765,0.972936617,7.008276699,-3.45,5.907179729,0.0,12.1082079,17.14164666,10.717646,0.05114040995,0.9184859638,0.999197121,1.14576586,0.9103608847,0.9914672766,0.9771343654,1.088669951,1.729166667,0.9030555556,0.3084057697,0.211882716,4.944974093,0.0697167756,0.0205239899,-0.5901936955,0.1515404183,-0.08000600361,9.905992134,1.101518949,-2.201926963,0.9018592594,0.3953957612,-0.8992168894,9.778515705,102.0346816,0.0,5.400919907,0.0,1.92,0.000305,16.47624748,2.478998053,0.0,3.313609904,0.0,4.531737251,5.031545353,8.061299199,1.55,0.441638319,0.2140761751,0.8558461486,52.24429655
7.4,4.592592593,0.640625,1.228395836,0.1749900716,104.7620402,11.74890228,5.00461361,0.4327922232,0.000216,0.4181444693,0.9929418699,8.001919866,-6.03,0.0,11.56673267,27.84769069,36.65915542,0.0,0.04207328569,0.847528118,0.9186291024,0.8286912422,0.983004827,1.002651557,1.052322885,0.9300025188,2.5625,1.055555556,0.3247669438,0.205625,4.696455979,0.06535947712,0.02069716776,-0.4513845054,0.02880841363,-0.1207369613,13.7536787,1.757993986,-3.087580778,0.4198524754,0.1506020025,-0.9175478109,14.95193556,138.6088784,1.311097861,4.946510396,0.0,5.58,1.19e-08,5.316788604,2.447406335,10.33705855,3.331488778,0.0,5.223103586,14.29703584,3.34677797,5.06,0.3813168503,0.0,0.6760391143,64.59104617
7.443697499,4.905172414,0.65625,1.172016221,0.1833480856,88.27294219,11.42694965,-6.668639053,0.4323245357,0.00596,0.4105639242,0.9729366222,7.008276683,-4.55,5.907179729,0.0,11.98427311,24.52642128,10.717646,0.04523567649,0.8766686463,0.9880281126,0.9916032401,1.00914102,0.9866071429,0.9584327358,1.11341245,2.034722222,0.9519444444,0.3754251701,0.353125,4.700936479,0.06100217865,0.01983217593,-0.573278819,0.1449498114,-0.09633662155,13.50500446,0.62625583,-2.285408488,0.4912868184,0.2180276611,-1.066570371,19.74647275,88.17075759,1.622562232,6.447473328,0.0,4.97,9.86e-08,5.733667477,2.479390399,0.0,0.0,0.0,4.67741432,0.0,3.876104416,2.87,0.441638319,0.09622504486,0.7989048138,59.89566699
7.215382707,5.227272727,0.6764705882,1.047244544,0.2197295168,154.1265422,14.25744495,-1.868512111,0.4299329235,9.63e-05,0.6306620563,0.9893221672,8.007392488,-5.92,6.362358859,5.749511833,11.67631489,17.14164666,4.983978521,0.03654217479,0.896288091,1.022126234,0.9626836859,1.05840778,0.9704887742,0.8370299167,1.159037559,1.979166667,0.8683333333,0.2837144117,0.291882716,4.887344949,0.06060606061,0.01772108844,-0.6984026067,0.5912033734,7.36e-05,8.797257867,1.631311381,-3.132514591,1.260533931,1.003585513,-0.9415403323,4.983978521,0.9115917462,0.0,4.429866719,0.0,4.43,3.19e-05,15.47944295,2.478994092,0.0,3.257575468,-4.715741119,4.543847834,5.607393984,3.240689369,5.05,0.2749716524,0.2140761751,0.8666591913,56.74038786
6.397940009,4.446808511,0.6388888889,1.156141129,0.1724691728,88.14717408,9.368671115,3.530041642,0.4371397847,0.0041,0.4569024975,0.9729411994,8.001919869,-4.7,5.969305288,11.38067233,11.51833249,36.65915542,5.106527395,0.04478895637,0.8237346407,1.040034385,1.060336323,1.006932066,1.271914003,0.7937061844,0.8754583856,1.409722222,1.202222222,0.3567806752,0.275,4.315379908,0.07936507937,0.0316374269,-0.6120048039,0.1186626501,-0.03253460132,9.929263588,0.7075190421,-1.753416567,0.7668384381,0.5939711467,-0.7048237197,4.983978521,48.45158015,0.0,4.363263722,0.0,4.86,3.42e-06,0.0,2.475845804,9.054265439,0.0,0.0,4.356319718,9.054265439,3.372901092,3.6,0.441638319,0.09622504486,0.618523771,56.78384476
8.549750892,4.713333333,0.6666666667,1.132756686,0.1849101569,87.60467455,12.54289873,-7.184246265,0.4314657775,0.00139,0.4081397092,0.9779950878,3.066005337,-4.96,0.0,0.0,5.112436885,9.197200829,17.31655525,0.04140394273,0.7803018602,0.9419397731,1.033208563,1.013915069,1.124284971,0.9189730928,1.202205712,1.666666667,0.9169444444,0.3169721592,0.189382716,4.533861863,0.06481481481,0.02037654321,-0.4467240567,0.08258669654,-0.09577994834,8.250647982,1.636805454,-1.89324875,1.075044697,0.3154873102,-1.074762671,4.983978521,77.59511263,0.7577671333,5.232697572,5.60688723,3.36,1.61e-05,5.316788604,2.489034642,0.0,3.223587176,0.0,4.578097402,12.63728103,5.326671766,3.58,0.3928227826,0.2140761751,0.8532861977,58.13756355
