SpMax_A,VE1_A,AATS8dv,AATS8s,AATS2i,ATSC1dv,ATSC8d,ATSC0p,ATSC0i,MATS1c,MATS2s,MATS3s,MATS6s,MATS7s,MATS8s,GATS4c,GATS1dv,GATS5dv,GATS7dv,GATS6d,GATS7d,GATS2s,GATS3s,GATS2v,GATS3v,GATS1p,GATS6p,GATS3i,GATS6i,GATS8i,BCUTc-1h,BCUTd-1l,BCUTs-1h,RPCG,Xch-5d,Xch-7d,Xc-5d,Xc-5dv,Xc-6dv,AXp-1d,SdssC,SaasC,SaaaC,SssssC,SsNH2,SssNH,SsOH,SssO,SdS,SddssS,MAXaaCH,AETA_beta_s,AETA_eta_L,AETA_eta_F,ETA_epsilon_5,IC1,IC2,CIC2,ZMIC1,PEOE_VSA1,PEOE_VSA2,PEOE_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA10,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA9,VSA_EState3,VSA_EState7,VSA_EState8,MDEC-33,TopoPSA(NO),GGI3,GGI5,GGI6,GGI7,GGI8,GGI9,JGI2,JGI5,FPSA3,RPCS,Mor02m,Mor03m,Mor06m,Mor08m,Mor11m,Mor13m,Mor16m,Mor23m,XLOGP3,Silicos-IT_Log_P,ESOL_Log_S,ESOL_Solubility_(mg/ml),Ali_Log_S,Ali_Solubility_(mg/ml),Silicos-IT_Solubility_(mg/ml)
2.478936865,4.51049676,4.116071429,2.575975529,153.6858859,75.74556213,-3.75,14.00398565,93.37712654,-0.4995143091,0.185352577,-0.06027119327,0.1012664571,-0.09900995601,0.01430089297,1.312093286,0.4858885136,0.8903736318,1.118813672,1.015037594,1.115763547,0.7708239048,1.089916386,0.8883641275,0.9783077638,0.8697089075,0.8209208128,0.9967102316,0.9921134398,1.097062228,0.3962348021,0.9878601675,3.057289002,0.09315111428,0.2140761751,0.8666591913,0.2749716524,0.06365387513,0.0,0.4340286995,0.9473422502,6.662891981,0.0,0.0,0.0,3.441633335,0.0,0.0,0.0,0.0,2.107141054,0.6693548387,0.2293193753,0.9765140263,0.7686868687,3.751632789,4.930457026,0.7699826926,53.27622952,10.30076712,4.983978521,23.62654039,10.74258,32.55515263,5.687386275,0.0,0.0,6.544756406,23.10933284,9.967957042,5.194296877,10.30863816,2.560241685,8.797257867,83.3,1.479166667,0.785,0.5723809524,0.5755385488,0.2590230537,0.211882716,0.06349206349,0.01825581395,0.041435723,82.16736547,30.21533539,-4.041919824,1.699242867,-2.036631265,1.008356152,-1.414465064,0.3656077369,-0.7394638663,3.19,3.33,-4.51,0.0132,-4.85,0.0061,3.83e-05
2.479665346,4.592143098,5.601941748,3.170981661,156.2364618,60.5,-4.06640625,10.57944554,126.7583443,-0.4735516832,-0.003021478251,0.1705660726,0.009471852089,0.03749536636,-0.02644778536,1.17204491,0.4153388278,1.054946833,0.9305233805,0.9250451041,1.047273286,0.608092821,0.7508930421,0.8946434032,0.9581582932,0.9471633203,0.9190060888,0.9328077585,0.8162745172,0.9614630423,0.4315417132,0.9925445055,8.003004674,0.08568957784,0.2140761751,0.933003347,0.5072794607,0.08760231951,0.0,0.430872001,0.8155020681,1.775581902,0.0,0.0,0.0,2.893697772,0.0,0.0,0.0,0.0,1.919592548,0.685483871,0.206097908,1.080595088,0.8281385281,3.885299815,4.860902344,0.7240601563,50.98871461,10.30076712,4.983978521,29.31392667,10.74258,26.29938345,14.46821637,11.63444168,12.23214268,11.51833249,5.008912524,4.983978521,4.557895017,7.794033608,2.084286042,11.14244263,83.3,2.041666667,0.7780555556,0.614829932,0.5538548753,0.3699058327,0.284691358,0.07555555556,0.01809431525,0.04384414594,92.90611593,30.97009812,-3.835582536,1.055461367,-2.573080398,1.075240333,-1.587851179,0.2604904114,-0.915551887,2.88,3.55,-4.32,0.0201,-3.99,0.0424,3.17e-05
2.477060554,4.55375734,4.619834711,2.997704316,150.0388206,57.71377714,-2.418298327,11.92201463,87.14913321,-0.3650620415,0.03788342654,-0.1598515607,-0.08316251675,0.1068993061,-0.08564338622,0.966223695,0.5020611259,1.111519675,1.063160372,1.11814346,1.146050842,0.6260982147,1.242412419,0.9291826201,0.9673682524,0.9180063141,0.9416155241,0.9610070018,1.09375006,1.027583128,0.4122082109,0.97795332,7.008272423,0.1120478328,0.09622504486,0.76403551,0.2749716524,0.0761440227,0.0,0.4348055467,-0.1419325105,5.095236687,1.975771616,0.0,0.0,2.908301157,0.0,0.0,0.0,0.0,2.090301687,0.640625,0.1838961498,1.166691595,0.7717171717,3.330305299,4.541871326,1.186049129,65.41691288,5.316788604,19.44429716,11.21062871,5.316788604,25.65562151,5.687386275,0.0,12.45193614,0.0,10.87864651,5.098681808,8.689804809,3.689419282,2.053586189,9.281050037,72.7,1.972222222,0.9380555556,0.7413151927,0.474029195,0.4323664651,0.264066358,0.05333333333,0.01995862884,0.03739062829,60.29828757,29.8329492,-3.145451125,2.000183774,-2.921958736,0.8255223115,-1.916783334,0.1473571538,-0.7829290354,4.16,4.44,-5.29,0.00215,-5.39,0.00169,1.08e-07
2.355558733,4.827861254,3.717592593,3.0208762,150.7416113,29.57821674,-2.333333333,12.9721988,72.39067622,-0.5716861687,0.4196841878,-0.1100179011,0.1080888137,-0.04694719601,0.04242407765,1.179333421,0.6286803578,0.9431134218,1.028730843,0.7731884058,1.004938272,0.4426392357,1.038183447,0.9359687193,1.023310233,1.191785503,0.8320992009,1.047694528,0.8590622216,1.038862585,0.4499408153,0.9684575887,7.014213094,0.1149386659,0.0,0.4026386479,0.5508638321,0.1565980496,0.01964185503,0.4395957733,0.0,4.749176086,0.0,0.0,5.104226329,3.201210921,0.0,5.907962727,0.0,-3.694652026,1.900281955,0.6153846154,0.1871033944,1.069395666,0.7885057471,3.387336998,4.186762964,1.305090132,54.93104544,10.05365156,4.983978521,10.58941147,15.1926253,13.40177551,11.37477255,10.02329115,4.895483476,11.49902367,12.13273414,9.875836691,8.30543725,0.0,3.83331744,4.918766216,94.31,1.8125,0.6597222222,0.5053061224,0.40625,0.3124212648,0.20125,0.07222222222,0.02274904215,0.03715825698,19.27238645,28.97317221,-3.39035269,2.162414317,-2.676872075,1.156508286,-1.68320399,0.08833317236,-0.494476765,3.29,2.36,-4.39,0.0152,-5.12,0.00279,2.69e-05
2.54695347,4.500490354,2.906666667,2.356851852,157.0659101,87.92125773,-18.13571621,13.69710277,97.51704162,-0.2256811218,-0.005937840983,-0.01372955574,-0.09549743874,0.04486605515,-0.1399436338,0.7050656235,0.523310367,0.9080881519,1.110190759,1.032227575,1.311390341,1.032345239,1.051809535,0.861293852,0.92777316,1.125335128,0.8983688641,0.9500488211,0.9490612384,1.166991385,0.4014102777,0.993840093,3.510026325,0.05118396501,0.2926435952,1.185573759,0.4184429249,0.1288113406,0.0,0.4278724429,0.0,6.296793905,2.193763306,0.0,0.0,0.0,0.0,5.464938818,0.0,0.0,2.264264141,0.6893939394,0.2455859152,0.9458827197,0.795959596,3.522681072,4.874895174,1.055842163,52.47138201,9.303962602,14.56569119,48.50709783,0.0,62.06348431,0.0,0.0,0.0,0.0,0.0,14.81952328,4.923479803,7.401129124,8.628129919,9.917457191,61.0,2.111111111,0.8097222222,0.7975056689,0.5755385488,0.2653533636,0.186257716,0.06172839506,0.01587690632,0.0418715081,114.461692,30.89935649,-4.743265555,0.4853697671,-2.894746311,0.9127104968,-2.014742732,0.1922801137,-0.7191453266,2.86,3.59,-4.43,0.0165,-3.8,0.0698,7.08e-05
2.462826447,4.212044087,3.169811321,2.660027952,146.1972284,24.16224529,-3.702422145,9.851108671,61.6294254,-0.6047044758,-0.06694110223,-0.008230873435,-0.1651971555,-0.08863812657,-0.03983490638,1.042887281,0.5702390063,1.074027301,1.053396268,1.142449852,1.092588694,0.8584584357,0.9025139029,0.8845688677,0.8952842616,0.7125133302,1.20123519,1.022169339,1.113479189,0.9577689896,0.400199853,0.9938486659,4.005274287,0.1115493625,0.09622504486,0.6126064166,0.2749716524,0.1097114615,0.0,0.4323865235,0.0,3.9235255,2.07135708,0.0,5.918594262,0.0,0.0,0.0,0.0,0.0,2.065256992,0.6477272727,0.1853179454,0.9910013254,0.7444444444,2.932804578,3.990868356,1.096594486,53.06631725,5.733667477,4.983978521,21.7817039,5.733667477,14.95193556,5.13155848,0.0,0.0,5.13155848,6.196843572,10.717646,1.633087994,1.752450922,0.0,8.047178597,64.69,1.222222222,0.6288888889,0.3257142857,0.2951743197,0.09448223734,0.0425,0.06349206349,0.02096296296,0.04664547043,72.85070457,20.73935905,-3.635476281,1.605275138,-1.720318506,0.247951908,-0.9535260692,0.281349613,-0.6070092993,4.03,4.34,-4.84,0.0044,-5.68,0.000629,3.95e-05
2.497208695,4.513463657,2.408099688,2.134100612,150.6081336,53.42883379,-7.609504132,15.20804651,77.84575342,-0.4356589511,-0.02481822452,-0.1044291348,-0.08288693757,-0.1037634672,-0.01801649578,1.248419574,0.5442672477,1.077433294,1.114437299,1.446023742,1.210008098,1.054924927,1.109217122,0.8553382836,0.9181363196,0.808607547,1.097481016,0.9801117935,1.047569839,1.035341044,0.4017147202,0.993844579,3.51001883,0.09032972377,0.3319273053,0.8477628922,0.3583049857,0.1433457877,0.0,0.4258663194,0.0,6.191205856,2.22272854,0.0,0.0,0.0,0.0,5.512646588,0.0,0.0,2.192696995,0.6730769231,0.2643470353,0.7862905977,0.7925925926,3.819909676,4.743300369,0.7161312501,41.43348934,9.720841475,0.0,21.4210879,0.0,33.14967801,0.0,0.0,0.0,5.917906046,22.67357176,9.720841475,3.046624858,2.022162383,3.632463227,11.50557439,63.69,1.388888889,0.8822222222,0.5275283447,0.3281604308,0.2693609851,0.136257716,0.06718346253,0.02321637427,0.03732102711,121.6114302,27.72436245,-4.435268544,1.730692214,-2.447051409,0.6351978727,-1.089864842,0.8407406097,-0.9189985796,3.74,6.71,-4.91,0.0047,-5.96,0.000424,4.19e-05
2.55375461,4.413009073,2.737288136,2.440442561,152.5658165,60.87630154,0.5872553103,10.72872352,82.70574452,-0.4214781845,0.01220900912,0.0391236265,-0.03286935977,0.0008746537024,0.01281360394,0.9056908435,0.4671563858,1.112418374,1.014105932,1.154889396,0.9420724095,0.6434882595,0.9208676707,0.9271276023,0.8266972972,0.9148275744,1.104875933,0.8538887858,1.102314322,0.9437620712,0.4024372182,0.9776566619,7.008271822,0.1089572074,0.1964185503,0.8994900549,0.3957624643,0.130682846,0.0,0.4315610527,-0.229261984,5.873888382,1.819785,0.0,5.401903658,2.786465574,0.0,0.0,0.0,0.0,2.030837585,0.6637931034,0.2132966268,1.066637448,0.7614583333,3.825106079,4.887128529,0.7275813154,46.26446953,11.05045608,19.44429716,17.75538512,11.05045608,32.20037792,5.687386275,0.0,12.45193614,5.687386275,12.39368714,10.83234929,8.673653371,5.674389572,0.8699774822,12.01007066,98.72,2.006944444,1.035277778,0.6271201814,0.3802083333,0.2454018644,0.162816358,0.06146572104,0.01990918803,0.04521456549,67.86264466,24.63086343,-3.602195323,1.001958965,-2.453202462,0.3691730813,-1.715484973,0.3755674872,-0.4850896078,1.38,2.77,-3.3,0.193,-3.06,0.338,2.51e-05
2.390735094,4.331820604,3.623655914,2.631421744,155.6689747,81.49312786,0.5293627655,11.27506112,71.18533849,-0.3449783119,-0.05150798815,0.01644019467,-0.1521256224,0.1076273212,0.08861506779,0.954704852,0.5088812892,1.34535056,0.7710199051,0.8911566344,0.8111243857,1.156934711,1.079287308,0.7482852695,0.9737389541,1.195749679,1.152345814,1.089983256,1.1434127,0.9110015727,0.4580307598,0.9871941861,3.517547361,0.07428232473,0.0,0.4172448689,0.2539338937,0.05040857505,0.0,0.4530652259,0.0,5.651997356,0.0,0.0,0.0,3.334270676,0.0,22.09108738,0.0,0.0,1.950540675,0.6481481481,0.1887004935,1.062088074,0.8238095238,3.192907997,4.169934589,1.444775255,57.89757831,24.26424042,4.983978521,27.02332062,24.26424042,26.31337114,11.37477255,0.0,0.0,22.99804733,27.5262362,18.94745182,3.334270676,1.740695932,1.910063424,7.352550885,61.84,2.125,0.7708333333,0.4644897959,0.3333333333,0.2421264802,0.156875,0.06267806268,0.02141203704,0.0486800147,8.90461098,23.42228331,-2.606005119,0.9113398695,-2.331147937,0.2158373764,-1.906405281,-0.3080488765,-0.7020800298,4.24,3.9,-4.81,0.00562,-5.25,0.00206,9.86e-06
2.478998053,4.531737251,4.628318584,2.8726647,154.5195576,61.86686391,-3.443786982,10.98400966,91.56728906,-0.5901936955,0.1515404183,-0.08000600361,0.07628768031,-0.09643419108,-0.06103801497,1.14576586,0.4800952104,0.9103608847,1.120359591,0.9914672766,1.088669951,0.5161077978,0.9691654607,0.8958724057,0.999197121,0.9184859638,0.9256875831,1.027639584,0.9771343654,1.079807087,0.4066858765,0.972936617,7.008276699,0.08658969209,0.2140761751,0.8558461486,0.441638319,0.08329573016,0.0,0.4323245357,0.4458248827,5.400919907,0.0,0.0,5.306778772,3.313609904,0.0,0.0,0.0,0.0,1.973330752,0.6796875,0.2076933912,1.06902788,0.7657407407,3.874524318,4.944974093,0.7554656253,52.24429655,16.0344346,9.778515705,23.62654039,16.47624748,32.20656318,5.687386275,5.907179729,0.0,12.1082079,17.14164666,10.717646,5.031545353,8.061299199,2.416194775,9.905992134,126.39,1.729166667,0.9030555556,0.6131972789,0.5755385488,0.3084057697,0.211882716,0.0697167756,0.0205239899,0.05114040995,102.0346816,30.89542096,-3.476888686,1.101518949,-2.201926963,0.9018592594,-1.537392054,0.3953957612,-0.8992168894,1.55,1.92,-3.45,0.152,-3.52,0.129,0.000305
