sample,strategy,imputation,upstream,best_tl_rmse,best_st_rmse,abs_gain,pct_gain
20,MLP,Gaussian,3,0.8625290393829346,0.7587091326713562,-0.10381990671157837,-0.13683756032570282
20,MLP,Gaussian,4,1.1002002954483032,0.7587091326713562,-0.341491162776947,-0.450094967981449
20,MLP,Mean,2,0.73628830909729,0.7587091326713562,0.022420823574066162,0.029551276778657157
20,MLP,Mean,3,0.7884554862976074,0.7587091326713562,-0.02974635362625122,-0.039206531653990524
20,MLP,Mean,4,0.8643714785575867,0.7587091326713562,-0.10566234588623047,-0.13926594703585748
20,MLP,Real,2,0.8544057011604309,0.7587091326713562,-0.09569656848907471,-0.12613077181783022
20,MLP,Real,3,0.8778975605964661,0.7587091326713562,-0.11918842792510986,-0.15709370401995376
20,MLP,Real,4,0.8960198163986206,0.7587091326713562,-0.1373106837272644,-0.18097934743951757
20,MLP,pseudo,2,0.9436211585998535,0.7587091326713562,-0.18491202592849731,-0.24371925678215625
20,MLP,pseudo,3,0.9320157766342163,0.7587091326713562,-0.1733066439628601,-0.22842303657616564
20,MLP,pseudo,4,0.9534327387809753,0.7587091326713562,-0.19472360610961914,-0.256651195727686
20,MLP-E2E,Gaussian,2,0.7235873937606812,0.7587091326713562,0.03512173891067505,0.046291440814761414
20,MLP-E2E,Gaussian,3,0.7971737384796143,0.7587091326713562,-0.03846460580825806,-0.050697433511610906
20,MLP-E2E,Gaussian,4,1.0029929876327515,0.7587091326713562,-0.24428385496139526,-0.32197299919310407
20,MLP-E2E,Mean,2,0.6218510270118713,0.7587091326713562,0.13685810565948486,0.1803828368028444
20,MLP-E2E,Mean,3,0.6705042123794556,0.7587091326713562,0.08820492029190063,0.11625656854997636
20,MLP-E2E,Mean,4,0.6629247069358826,0.7587091326713562,0.09578442573547363,0.12624657014239973
20,MLP-E2E,Real,2,0.6672126650810242,0.7587091326713562,0.09149646759033203,0.12059492057012684
20,MLP-E2E,Real,3,0.5773938298225403,0.7587091326713562,0.18131530284881592,0.23897867448941698
20,MLP-E2E,Real,4,0.6564601063728333,0.7587091326713562,0.10224902629852295,0.13476709570967207
20,MLP-E2E,pseudo,2,0.6208774447441101,0.7587091326713562,0.1378316879272461,0.18166604564512276
20,MLP-E2E,pseudo,3,0.790455162525177,0.7587091326713562,-0.0317460298538208,-0.041842161227248556
20,MLP-E2E,pseudo,4,0.802980363368988,0.7587091326713562,-0.044271230697631836,-0.058350728614213795
50,LH,Gaussian,2,1.0407863855361938,1.0514578819274902,0.010671496391296387,0.010149238095713192
50,LH,Gaussian,3,1.093631625175476,1.0514578819274902,-0.04217374324798584,-0.04010977897723743
50,LH,Gaussian,4,1.1869072914123535,1.0514578819274902,-0.13544940948486328,-0.1288205755199275
50,LH,Mean,2,1.0309147834777832,1.0514578819274902,0.02054309844970703,0.019537728332064287
50,LH,Mean,3,0.9296168088912964,1.0514578819274902,0.12184107303619385,0.11587822501538501
50,LH,Mean,4,1.0512487888336182,1.0514578819274902,0.0002090930938720703,0.0001988601706886911
50,LH,Real,2,1.080379605293274,1.0514578819274902,-0.02892172336578369,-0.027506307064592596
50,LH,Real,3,1.0411845445632935,1.0514578819274902,0.010273337364196777,0.009770564794629823
50,LH,Real,4,1.0729494094848633,1.0514578819274902,-0.021491527557373047,-0.020439741740273652
50,LH,pseudo,2,1.1075360774993896,1.0514578819274902,-0.056078195571899414,-0.053333753577555695
50,LH,pseudo,3,1.075407862663269,1.0514578819274902,-0.02394998073577881,-0.022777879311603685
50,LH,pseudo,4,1.1016037464141846,1.0514578819274902,-0.050145864486694336,-0.04769174814189319
50,LH-E2E,Gaussian,2,0.9693324565887451,1.0514578819274902,0.08212542533874512,0.0781062434837581
50,LH-E2E,Gaussian,3,0.9499468803405762,1.0514578819274902,0.10151100158691406,0.09654309823692432
50,LH-E2E,Gaussian,4,0.7164213061332703,1.0514578819274902,0.33503657579421997,0.31864003452049305
50,LH-E2E,Mean,2,0.6919070482254028,1.0514578819274902,0.3595508337020874,0.34195457552990455
50,LH-E2E,Mean,3,0.8165035247802734,1.0514578819274902,0.2349543571472168,0.22345579522073478
50,LH-E2E,Mean,4,0.8535072207450867,1.0514578819274902,0.19795066118240356,0.18826304370796895
50,LH-E2E,Real,2,0.8111265301704407,1.0514578819274902,0.24033135175704956,0.22856964210157787
50,LH-E2E,Real,3,0.7887580990791321,1.0514578819274902,0.26269978284835815,0.24984337210615368
50,LH-E2E,Real,4,0.9961828589439392,1.0514578819274902,0.055275022983551025,0.05256988789909785
50,LH-E2E,pseudo,2,0.9350555539131165,1.0514578819274902,0.11640232801437378,0.11070564976030207
50,LH-E2E,pseudo,3,1.0401437282562256,1.0514578819274902,0.011314153671264648,0.010760444013719311
50,LH-E2E,pseudo,4,0.921114981174469,1.0514578819274902,0.13034290075302124,0.12396397705829347
50,MLP,Gaussian,2,0.9690558910369873,1.0514578819274902,0.08240199089050293,0.07836927404019924
50,MLP,Gaussian,3,1.0904769897460938,1.0514578819274902,-0.039019107818603516,-0.03710953000521073
50,MLP,Gaussian,4,1.1973001956939697,1.0514578819274902,-0.1458423137664795,-0.1387048556801222
50,MLP,Mean,2,0.876572847366333,1.0514578819274902,0.17488503456115723,0.1663262386131578
50,MLP,Mean,3,0.9308364987373352,1.0514578819274902,0.12062138319015503,0.11471822624890762
50,MLP,Mean,4,1.0376194715499878,1.0514578819274902,0.013838410377502441,0.01316116471744396
50,MLP,Real,2,0.9755833745002747,1.0514578819274902,0.07587450742721558,0.07216124271960897
50,MLP,Real,3,1.0460985898971558,1.0514578819274902,0.005359292030334473,0.005097010657726046
50,MLP,Real,4,1.0691275596618652,1.0514578819274902,-0.017669677734375,-0.016804931550832694
50,MLP,pseudo,2,1.1177737712860107,1.0514578819274902,-0.06631588935852051,-0.06307041917547176
50,MLP,pseudo,3,1.0724987983703613,1.0514578819274902,-0.021040916442871094,-0.020011183333658342
50,MLP,pseudo,4,1.1044230461120605,1.0514578819274902,-0.05296516418457031,-0.05037307256423501
50,MLP-E2E,Gaussian,2,0.9757585525512695,1.0514578819274902,0.0756993293762207,0.07199463780465627
50,MLP-E2E,Gaussian,3,0.9124090075492859,1.0514578819274902,0.13904887437820435,0.13224388419943703
50,MLP-E2E,Gaussian,4,1.1097335815429688,1.0514578819274902,-0.058275699615478516,-0.05542371274886432
50,MLP-E2E,Mean,2,0.6823475360870361,1.0514578819274902,0.3691103458404541,0.35104624938834056
50,MLP-E2E,Mean,3,0.8158797025680542,1.0514578819274902,0.23557817935943604,0.22404908785084535
50,MLP-E2E,Mean,4,0.823891282081604,1.0514578819274902,0.22756659984588623,0.21642959148180077
50,MLP-E2E,Real,2,0.821362316608429,1.0514578819274902,0.23009556531906128,0.21883479050749932
50,MLP-E2E,Real,3,0.7755797505378723,1.0514578819274902,0.2758781313896179,0.26237677812057414
50,MLP-E2E,Real,4,0.9850214123725891,1.0514578819274902,0.06643646955490112,0.0631850982305753
50,MLP-E2E,pseudo,2,0.9247848987579346,1.0514578819274902,0.12667298316955566,0.12047366361203538
50,MLP-E2E,pseudo,3,1.0479562282562256,1.0514578819274902,0.0035016536712646484,0.0033302842952164266
50,MLP-E2E,pseudo,4,0.9216768145561218,1.0514578819274902,0.1297810673713684,0.12342963955290247
75,LH,Gaussian,2,1.0733298063278198,0.8163384795188904,-0.25699132680892944,-0.3148097673411003
75,LH,Gaussian,3,1.0619866847991943,0.8163384795188904,-0.24564820528030396,-0.3009146468571185
75,LH,Gaussian,4,1.1769757270812988,0.8163384795188904,-0.36063724756240845,-0.44177416183413315
75,LH,Mean,2,1.0471729040145874,0.8163384795188904,-0.23083442449569702,-0.2827680310154428
75,LH,Mean,3,0.950481116771698,0.8163384795188904,-0.13414263725280762,-0.1643223253813353
75,LH,Mean,4,1.0650922060012817,0.8163384795188904,-0.24875372648239136,-0.30471885464592396
75,LH,Real,2,1.101789116859436,0.8163384795188904,-0.28545063734054565,-0.3496719124507964
75,LH,Real,3,1.0556594133377075,0.8163384795188904,-0.23932093381881714,-0.293163852768353
75,LH,Real,4,1.0748729705810547,0.8163384795188904,-0.2585344910621643,-0.31670011588150515
75,LH,pseudo,2,1.1291040182113647,0.8163384795188904,-0.31276553869247437,-0.3831321768352791
75,LH,pseudo,3,1.1204769611358643,0.8163384795188904,-0.3041384816169739,-0.37256418660580365
75,LH,pseudo,4,1.118112325668335,0.8163384795188904,-0.3017738461494446,-0.3696675505573316
75,LH-E2E,Gaussian,2,0.9807365536689758,0.8163384795188904,-0.16439807415008545,-0.20138469308340526
75,LH-E2E,Gaussian,3,0.9277393817901611,0.8163384795188904,-0.11140090227127075,-0.13646410780112306
75,LH-E2E,Gaussian,4,0.8061152696609497,0.8163384795188904,0.010223209857940674,0.012523248768042552
75,LH-E2E,Mean,2,0.7785424590110779,0.8163384795188904,0.0377960205078125,0.046299447418046015
75,LH-E2E,Mean,3,0.8337985873222351,0.8163384795188904,-0.017460107803344727,-0.021388318989489327
75,LH-E2E,Mean,4,0.8703134059906006,0.8163384795188904,-0.053974926471710205,-0.06611831712688634
75,LH-E2E,Real,2,0.8627851009368896,0.8163384795188904,-0.04644662141799927,-0.056896278422857896
75,LH-E2E,Real,3,0.8216251134872437,0.8163384795188904,-0.0052866339683532715,-0.006476031818895702
75,LH-E2E,Real,4,0.96250319480896,0.8163384795188904,-0.14616471529006958,-0.17904915541432256
75,LH-E2E,pseudo,2,0.9165902733802795,0.8163384795188904,-0.10025179386138916,-0.12280664990883759
75,LH-E2E,pseudo,3,1.0347583293914795,0.8163384795188904,-0.2184198498725891,-0.26756039970248
75,LH-E2E,pseudo,4,0.905258059501648,0.8163384795188904,-0.08891957998275757,-0.10892489110051799
75,MLP,Gaussian,2,1.0582088232040405,0.8163384795188904,-0.24187034368515015,-0.29628683414225016
75,MLP,Gaussian,3,1.0768280029296875,0.8163384795188904,-0.2604895234107971,-0.3190949954537446
75,MLP,Gaussian,4,1.1768771409988403,0.8163384795188904,-0.36053866147994995,-0.4416533956508257
75,MLP,Mean,2,0.897799015045166,0.8163384795188904,-0.08146053552627563,-0.09978769538621339
75,MLP,Mean,3,0.9497746825218201,0.8163384795188904,-0.1334362030029297,-0.16345695609200048
75,MLP,Mean,4,1.0729647874832153,0.8163384795188904,-0.25662630796432495,-0.31436262580145413
75,MLP,Real,2,0.9974949955940247,0.8163384795188904,-0.18115651607513428,-0.22191348395324814
75,MLP,Real,3,1.0552555322647095,0.8163384795188904,-0.2389170527458191,-0.29266910569574645
75,MLP,Real,4,1.0739822387695312,0.8163384795188904,-0.25764375925064087,-0.3156089853837141
75,MLP,pseudo,2,1.1336379051208496,0.8163384795188904,-0.31729942560195923,-0.3886861070042415
75,MLP,pseudo,3,1.1163973808288574,0.8163384795188904,-0.30005890130996704,-0.36756677387890246
75,MLP,pseudo,4,1.119828701019287,0.8163384795188904,-0.30349022150039673,-0.37177007958666713
75,MLP-E2E,Gaussian,2,1.0060492753982544,0.8163384795188904,-0.189710795879364,-0.2323923233303546
75,MLP-E2E,Gaussian,3,0.9129877686500549,0.8163384795188904,-0.09664928913116455,-0.11839364620925975
