pIC50,AATS2s,AATS3d,AATS3v,AATSC0c,ATSC0i,ATSC8d,AXp-1d,BCUTi-1h,BCUTi-1l,BCUTs-1h,BCUTs-1l,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA6,ETA_dEpsilon_C,GATS1c,GATS2dv,GATS3d,GATS3p,GATS5c,GATS5dv,GATS6d,GATS6i,GATS6v,GATS7c,GATS7d,GATS8d,GGI5,GGI8,GGI9,IC2,JGI3,MATS1c,MATS2s,MINaasC,Mor10m,Mor11m,Mor12m,Mor16m,Mor21m,Mor22m,Mor23m,PEOE_VSA11,PEOE_VSA2,PEOE_VSA3,PEOE_VSA7,SMR_VSA5,SMR_VSA6,SaaNH,SdCH2,SdS,SdsCH,SdsN,Silicos-IT_Log_P,SsCH3,SsOH,SsssCH,TASA,TSRW10,VSA_EState7,Xc-4dv,Xc-5d,Xch-6d,iLOGP
8.045757491,3.667647059,3.631067961,221.029323,0.01874242464,126.7583443,-4.06640625,0.430872001,17.42586388,10.96021804,8.003004674,1.425951198,11.63444168,12.23214268,11.51833249,5.008912524,-0.1181869111,1.526630217,0.743837535,1.089697145,0.9521273999,1.081570041,1.054946833,0.9250451041,0.8162745172,0.9702662119,1.037366544,1.047273286,1.019645186,0.7780555556,0.3699058327,0.284691358,4.860902344,0.04166666667,-0.4735516832,-0.003021478251,-0.9245484729,0.9142737892,1.075240333,2.216510363,0.2604904114,-0.2500826331,0.07105057468,-0.915551887,11.63444168,4.983978521,23.76612587,37.26522558,13.46849361,5.316788604,3.272393707,0.0,0.0,7.073676348,4.164378165,3.55,1.912898413,0.0,0.0,519.5286616,82.9374568,7.794033608,0.0,0.5072794607,0.5652352563,0.0
6.684029655,3.180704898,3.47008547,217.1731371,0.01228273946,87.14913321,-2.418298327,0.4348055467,14.6923632,10.93106303,7.008272423,1.420015394,0.0,12.45193614,0.0,10.87864651,-0.06778746368,1.374355166,0.9275405778,1.036146273,0.9262611805,1.270589764,1.111519675,1.11814346,1.09375006,0.9300088911,0.9457194813,1.146050842,1.00910137,0.9380555556,0.4323664651,0.264066358,4.541871326,0.04024943311,-0.3650620415,0.03788342654,0.7402327937,1.743008987,0.8255223115,1.855895035,0.1473571538,-0.516298361,-0.2616650206,-0.7829290354,0.0,19.44429716,0.0,54.95175817,13.46849361,5.316788604,0.0,0.0,0.0,0.0,0.0,4.44,1.953539736,0.0,0.0,606.0975272,82.0681549,3.689419282,0.0,0.2749716524,0.5159226139,3.07
7.142667504,4.314574315,3.168421053,210.5714866,0.01719890356,72.39067622,-2.333333333,0.4395957733,14.54819748,10.31928434,7.014213094,0.3002092232,10.02329115,4.895483476,11.49902367,12.13273414,-0.09169989662,1.592977371,0.8118051495,1.096140351,0.9959352021,0.9646504683,0.9431134218,0.7731884058,0.8590622216,0.9295485469,1.064051865,1.004938272,1.018518519,0.6597222222,0.3124212648,0.20125,4.186762964,0.04769736842,-0.5716861687,0.4196841878,0.07174101135,0.668891496,1.156508286,1.085422478,0.08833317236,-0.6949813069,-0.6246469494,-0.494476765,0.0,4.983978521,13.55677072,62.37841095,18.74295787,5.316788604,0.0,0.0,0.0,0.0,0.0,2.36,3.83331744,0.0,0.0,501.6069879,60.91287501,0.0,0.0589255651,0.5508638321,0.2347080484,2.17
7.161150909,2.630649718,3.297297297,193.4246016,0.01185756757,97.51704162,-18.13571621,0.4278724429,14.69239158,10.94500663,3.510026325,1.347835869,0.0,0.0,0.0,0.0,-0.06990761548,1.304826068,1.045026966,1.081049149,0.8868826241,0.8883589934,0.9080881519,1.032227575,0.9490612384,0.9199427804,0.9385998467,1.311390341,1.153119093,0.8097222222,0.2653533636,0.186257716,4.874895174,0.0405982906,-0.2256811218,-0.005937840983,0.9161256607,1.258737129,0.9127104968,1.090251058,0.1922801137,-0.3450146154,0.006706318222,-0.7191453266,0.0,14.56569119,4.983978521,49.24949869,26.43407163,32.84803315,0.0,0.0,0.0,4.332501179,0.0,3.59,2.022195826,0.0,0.0,618.6167616,86.74119039,7.401129124,0.0,0.4184429249,0.8107686014,3.61
5.450016389,3.136547467,3.757142857,239.0219702,0.01503772994,61.6294254,-3.702422145,0.4323865235,14.55239054,10.31163031,4.005274287,0.6050205064,0.0,0.0,5.13155848,6.196843572,-0.07555555556,1.602572835,0.8653180963,1.045341615,0.9989846184,0.7045379161,1.074027301,1.142449852,1.113479189,1.066547629,1.204616384,1.092588694,1.05191609,0.6288888889,0.09448223734,0.0425,3.990868356,0.03594771242,-0.6047044758,-0.06694110223,0.519084887,0.0749972144,0.247951908,1.337042018,0.281349613,0.008981748561,-0.4556865043,-0.6070092993,5.13155848,4.983978521,9.967957042,24.26546827,0.0,5.733667477,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,466.5801964,70.36922208,1.752450922,0.0,0.2749716524,0.4607729437,2.17
7.677780705,2.574074074,3.455445545,208.4911895,0.01412150388,77.84575342,-7.609504132,0.4258663194,14.55687168,10.3110027,3.51001883,0.6094207542,0.0,0.0,5.917906046,22.67357176,-0.09772486772,1.415651066,0.959813419,1.04254277,0.7896129138,1.154258748,1.077433294,1.446023742,1.047569839,1.008735236,1.004260681,1.210008098,0.9606518939,0.8822222222,0.2693609851,0.136257716,4.743300369,0.03561253561,-0.4356589511,-0.02481822452,0.9522751323,0.5062432875,0.6351978727,0.5947064721,0.8407406097,0.1431370753,-0.3152016798,-0.9189985796,0.0,0.0,14.95193556,31.89811458,25.68328649,13.21376393,3.616639267,0.0,0.0,0.0,0.0,6.71,2.022904813,0.0,0.4207821817,538.7994134,78.29249809,2.022162383,0.0,0.3583049857,0.6893292996,3.29
7.193820026,3.072839506,3.617391304,209.5589046,0.01512459924,82.70574452,0.5872553103,0.4315610527,14.69238074,10.92976559,7.008271822,1.343850114,0.0,12.45193614,5.687386275,12.39368714,-0.08755609135,1.44723382,0.7958868123,1.077186126,0.7967584127,0.9231608964,1.112418374,1.154889396,1.102314322,1.115185938,0.7563912677,0.9420724095,0.8118453628,1.035277778,0.2454018644,0.162816358,4.887128529,0.04181134259,-0.4214781845,0.01220900912,0.6831338108,1.193902105,0.3691730813,1.423674917,0.3755674872,-0.3490113036,-0.05851159845,-0.4850896078,0.0,19.44429716,0.0,48.73693008,19.38639965,11.86154501,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,553.1817254,80.95692049,5.674389572,0.0,0.3957624643,0.5913525046,2.11
6.970616222,3.136546185,3.489130435,222.5590535,0.02876418127,71.18533849,0.5293627655,0.4530652259,14.54803385,10.95880687,3.517547361,1.419941378,0.0,0.0,22.99804733,27.5262362,-0.08538128538,1.347063237,1.071673043,1.381131342,1.01923203,1.346189467,1.34535056,0.8911566344,1.1434127,1.176725569,0.8142249699,0.8111243857,0.8763040238,0.7708333333,0.2421264802,0.156875,4.169934589,0.0505952381,-0.3449783119,-0.05150798815,0.5506359717,1.235871091,0.2158373764,1.802496101,-0.3080488765,-0.3962345318,-0.6564783976,-0.7020800298,11.49902367,4.983978521,0.0,31.18920547,6.9237372,26.64618123,0.0,0.0,0.0,0.0,0.0,3.9,6.666256248,0.0,0.0,571.339037,61.89693008,1.740695932,0.0,0.2539338937,0.2222222222,3.37
7.259637311,3.49969475,3.558558559,218.431184,0.02082809754,91.56728906,-3.443786982,0.4323245357,14.63950728,10.95447882,7.008276699,1.434202279,5.907179729,0.0,12.1082079,17.14164666,-0.09406926407,1.661689804,0.8524031266,1.096025829,0.9894244384,0.9299383677,0.9103608847,0.9914672766,0.9771343654,0.9378775593,1.181247582,1.088669951,1.011595972,0.9030555556,0.3084057697,0.211882716,4.944974093,0.03528911565,-0.5901936955,0.1515404183,0.4649502918,1.506587814,0.9018592594,1.714414083,0.3953957612,-0.2438017622,0.07449998418,-0.8992168894,0.0,9.778515705,14.98529578,49.39795972,13.46849361,5.316788604,3.410010524,0.0,0.0,7.296656436,4.203282323,1.92,1.957560358,0.0,0.0,565.2188065,83.97882496,8.061299199,0.0,0.441638319,0.5805272079,0.0
7.4,3.471590909,3.752212389,234.6008388,0.01720817351,104.7620402,5.00461361,0.4327922232,17.42477326,10.93671007,8.001919866,1.381898438,0.0,11.56673267,27.84769069,36.65915542,-0.07757219949,1.340356809,0.83050309,1.155768076,0.919282232,1.217253788,0.983004827,1.002651557,1.052322885,1.038742741,0.9039943173,0.9300025188,0.8842829706,1.055555556,0.3247669438,0.205625,4.696455979,0.0474537037,-0.4513845054,0.02880841363,-0.3457264764,1.345271041,0.4198524754,2.322007198,0.1506020025,-0.1724022778,-0.4860435534,-0.9175478109,0.0,14.95193556,4.390415048,67.58740788,6.9237372,5.316788604,0.0,0.0,0.0,0.0,0.0,5.58,1.92057956,10.33705855,0.0,551.4029768,68.35723961,3.34677797,0.0,0.3813168503,0.3707908119,3.15
